Ticker            BTC-USD        MSFT         SPY
Date                                             
2020-07-20    9164.231445  201.559998  300.258087
2020-07-21    9374.887695  198.845245  300.896820
2020-07-22    9525.363281  201.702866  302.609650
2020-07-23    9581.072266  192.929916  298.998993
2020-07-24    9536.892578  191.748764  297.073334
2020-07-25    9677.113281         NaN         NaN
2020-07-26    9905.166992         NaN         NaN
2020-07-27   10990.873047  194.177780  299.239716
2020-07-28   10912.823242  192.434570  297.341827
2020-07-29   11100.467773  194.377808  300.998779
2020-07-30   11111.213867  194.225388  299.924805
2020-07-31   11323.466797  195.282745  302.294830
2020-08-01   11759.592773         NaN         NaN
2020-08-02   11053.614258         NaN         NaN
2020-08-03   11246.348633  206.265640  304.396484
2020-08-04   11205.892578  203.169846  305.572205
2020-08-05   11747.022461  202.836456  307.470093
2020-08-06   11779.773438  206.084702  309.525452
2020-08-07   11601.472656  202.398254  309.747620
2020-08-08   11754.045898         NaN         NaN
2020-08-09   11675.739258         NaN         NaN
2020-08-10   11878.111328  198.369003  310.673492
2020-08-11   11410.525391  193.730057  308.108978
2020-08-12   11584.934570  199.264389  312.404724
2020-08-13   11784.137695  198.797638  311.839966
2020-08-14   11768.871094  198.988144  311.849182
2020-08-15   11865.698242         NaN         NaN
2020-08-16   11892.803711         NaN         NaN
2020-08-17   12254.402344  200.302658  312.839752
2020-08-18   11991.233398  201.455261  313.515686
2020-08-19   11758.283203  200.233063  312.210297
2020-08-20   11878.372070  204.892746  313.182343
2020-08-21   11592.489258  203.403152  314.293274
2020-08-22   11681.825195         NaN         NaN
2020-08-23   11664.847656         NaN         NaN
2020-08-24   11774.595703  204.042908  317.478119
2020-08-25   11366.134766  206.697418  318.589081
2020-08-26   11488.363281  211.166122  321.783051
2020-08-27   11323.397461  216.351013  322.486694
2020-08-28   11542.500000  218.575821  324.569763
2020-08-29   11506.865234         NaN         NaN
2020-08-30   11711.505859         NaN         NaN
2020-08-31   11680.820312  215.348419  323.394012
2020-09-01   11970.478516  217.009842  326.439941
2020-09-02   11414.034180  221.192108  331.161621
2020-09-03   10245.296875  207.489960  319.764862
2020-09-04   10511.813477  204.577652  317.154083
2020-09-05   10169.567383         NaN         NaN
2020-09-06   10280.351562         NaN         NaN
2020-09-07   10369.563477         NaN         NaN
2020-09-08   10131.516602  193.510880  308.488586
2020-09-09   10242.347656  201.751266  314.580383
2020-09-10   10363.138672  196.098511  309.118164
2020-09-11   10400.915039  194.819046  309.275482
2020-09-12   10442.170898         NaN         NaN
2020-09-13   10323.755859         NaN         NaN
2020-09-14   10680.837891  196.136734  313.348938
2020-09-15   10796.951172  199.354599  314.932159
2020-09-16   10974.905273  195.792984  313.682373
2020-09-17   10948.990234  193.749588  310.923370
2020-09-18   10944.585938  191.343338  307.343750
2020-09-19   11094.346680         NaN         NaN
2020-09-20   10938.271484         NaN         NaN
2020-09-21   10462.259766  193.396255  303.923279
2020-09-22   10538.459961  198.056015  307.018463
2020-09-23   10246.186523  191.534302  299.898407
2020-09-24   10760.066406  194.016953  300.697845
2020-09-25   10692.716797  198.437927  305.559204
2020-09-26   10750.723633         NaN         NaN
2020-09-27   10775.269531         NaN         NaN
2020-09-28   10709.652344  199.984772  310.634338
2020-09-29   10844.640625  197.903198  308.942627
2020-09-30   10784.491211  200.834625  311.285004
2020-10-01   10619.452148  202.868484  313.283447
2020-10-02   10575.974609  196.881516  310.308960
2020-10-03   10549.329102         NaN         NaN
2020-10-04   10669.583008         NaN         NaN
2020-10-05   10793.339844  200.882370  315.811676
2020-10-06   10604.406250  196.614166  311.322113
2020-10-07   10668.968750  200.357224  316.741241
2020-10-08   10915.685547  201.073318  319.548340
2020-10-09   11064.458008  206.067245  322.401947
2020-10-10   11296.361328         NaN         NaN
2020-10-11   11384.181641         NaN         NaN
2020-10-12   11555.363281  211.404846  327.588654
2020-10-13   11425.899414  212.798920  325.450836
2020-10-14   11429.506836  210.889191  323.405823
2020-10-15   11495.349609  209.743439  323.006134
2020-10-16   11322.123047  209.743439  322.811035
2020-10-17   11358.101562         NaN         NaN
2020-10-18   11483.359375         NaN         NaN
2020-10-19   11742.037109  204.549026  317.903076
2020-10-20   11916.334961  204.959595  319.176514
2020-10-21   12823.689453  205.102829  318.572357
2020-10-22   12965.891602  205.188766  320.319885
2020-10-23   12931.539062  206.468262  321.407379
2020-10-24   13108.062500         NaN         NaN
2020-10-25   13031.173828         NaN         NaN
2020-10-26   13075.248047  200.595886  315.467834
2020-10-27   13654.218750  203.622818  314.380341
2020-10-28   13271.285156  193.529922  303.635193
2020-10-29   13437.882812  195.477844  306.721100
2020-10-30   13546.522461  193.329483  303.523560
2020-10-31   13780.995117         NaN         NaN
2020-11-01   13737.109375         NaN         NaN
2020-11-02   13550.489258  193.195816  306.925629
2020-11-03   13950.300781  197.110672  312.344604
2020-11-04   14133.707031  206.620972  319.325378
2020-11-05   15579.848633  213.209488  325.553040
2020-11-06   15565.880859  213.620087  325.478668
2020-11-07   14833.753906         NaN         NaN
2020-11-08   15479.567383         NaN         NaN
2020-11-09   15332.315430  208.530731  329.568573
2020-11-10   15290.902344  201.483902  329.085266
2020-11-11   15701.339844  206.773804  331.529816
2020-11-12   16276.343750  205.713928  328.313660
2020-11-13   16317.808594  206.735580  332.859039
2020-11-14   16068.138672         NaN         NaN
2020-11-15   15955.587891         NaN         NaN
2020-11-16   16716.111328  207.423096  337.013885
2020-11-17   17645.406250  204.778198  335.201416
2020-11-18   17804.005859  202.078415  331.167236
2020-11-19   17817.089844  203.361282  332.561584
2020-11-20   18621.314453  201.417831  330.284241
2020-11-21   18642.232422         NaN         NaN
2020-11-22   18370.001953         NaN         NaN
2020-11-23   18364.121094  201.149765  332.264130
2020-11-24   19107.464844  204.739868  337.618103
2020-11-25   18732.121094  204.749435  337.097595
2020-11-26   17150.623047         NaN         NaN
2020-11-27   17108.402344  206.051468  338.036438
2020-11-28   17717.414062         NaN         NaN
2020-11-29   18177.484375         NaN         NaN
2020-11-30   19625.835938  204.940918  336.539795
2020-12-01   18802.998047  206.989639  340.220703
2020-12-02   19201.091797  206.185440  340.936554
2020-12-03   19445.398438  205.103668  340.843536
2020-12-04   18699.765625  205.218536  343.780792
2020-12-05   19154.230469         NaN         NaN
2020-12-06   19345.121094         NaN         NaN
2020-12-07   19191.630859  205.151566  343.074371
2020-12-08   18321.144531  206.798187  344.078308
2020-12-09   18553.916016  202.767731  340.992279
2020-12-10   18264.992188  201.542343  340.880707
2020-12-11   18058.904297  204.165436  340.481049
2020-12-12   18803.656250         NaN         NaN
2020-12-13   19142.382812         NaN         NaN
2020-12-14   19246.644531  205.065399  338.956573
2020-12-15   19417.076172  204.998352  343.539093
2020-12-16   21310.597656  209.928711  344.078308
2020-12-17   22805.162109  210.062759  346.002319
2020-12-18   23137.960938  209.268127  344.620789
2020-12-19   23869.832031         NaN         NaN
2020-12-20   23477.294922         NaN         NaN
2020-12-21   22803.082031  213.097549  343.388580
2020-12-22   23783.029297  214.390015  342.809906
2020-12-23   23241.345703  211.594543  343.117920
2020-12-24   23735.949219  213.250732  344.452759
2020-12-25   24664.791016         NaN         NaN
2020-12-26   26437.037109         NaN         NaN
2020-12-27   26272.294922         NaN         NaN
2020-12-28   27084.808594  215.366501  347.411926
2020-12-29   27362.437500  214.591019  346.749146
2020-12-30   28840.953125  212.226379  347.243835
2020-12-31   29001.720703  212.934830  349.008148
2021-01-01   29374.152344         NaN         NaN
2021-01-02   32127.267578         NaN         NaN
2021-01-03   32782.023438         NaN         NaN
2021-01-04   31971.914062  208.406555  344.256714
2021-01-05   33992.429688  208.607559  346.627747
2021-01-06   36824.363281  203.198532  348.700134
2021-01-07   39371.042969  208.980911  353.880920
2021-01-08   40797.609375  210.254227  355.897247
2021-01-09   40254.546875         NaN         NaN
2021-01-10   38356.441406         NaN         NaN
2021-01-11   35566.656250  208.215073  353.498169
2021-01-12   33922.960938  205.764236  353.572845
2021-01-13   37316.359375  207.114075  354.525024
2021-01-14   39187.328125  203.935669  353.283447
2021-01-15   36825.367188  203.581467  350.707031
2021-01-16   36178.140625         NaN         NaN
2021-01-17   35791.277344         NaN         NaN
2021-01-18   36630.074219         NaN         NaN
2021-01-19   36069.804688  207.209869  353.460815
2021-01-20   35547.750000  214.772934  358.352203
2021-01-21   30825.699219  215.376068  358.678894
2021-01-22   33005.761719  216.314270  357.409393
2021-01-23   32067.642578         NaN         NaN
2021-01-24   32289.378906         NaN         NaN
2021-01-25   32366.392578  219.741608  358.818939
2021-01-26   32569.849609  222.422180  358.258881
2021-01-27   30432.546875  222.967896  349.502869
2021-01-28   33466.097656  228.740738  352.508759
2021-01-29   34316.386719  222.067993  345.451599
2021-01-30   34269.523438         NaN         NaN
2021-01-31   33114.359375         NaN         NaN
2021-02-01   33537.175781  229.430038  351.201813
2021-02-02   35510.289062  229.295990  356.167938
2021-02-03   37472.089844  232.637177  356.447937
2021-02-04   36926.066406  231.689468  360.499268
2021-02-05   38144.308594  231.871307  361.918091
2021-02-06   39266.011719         NaN         NaN
2021-02-07   38903.441406         NaN         NaN
2021-02-08   46196.464844  232.129761  364.531799
2021-02-09   46481.105469  233.374344  364.289093
2021-02-10   44918.183594  232.464874  364.130463
2021-02-11   47909.332031  234.063614  364.718506
2021-02-12   47504.851562  234.542297  366.520172
2021-02-13   47105.515625         NaN         NaN
2021-02-14   48717.289062         NaN         NaN
2021-02-15   47945.058594         NaN         NaN
2021-02-16   49199.871094  233.307327  366.202759
2021-02-17   52149.007812  234.324432  366.286835
2021-02-18   51679.796875  233.931061  364.727875
2021-02-19   55888.132812  231.225067  364.083801
2021-02-20   56099.519531         NaN         NaN
2021-02-21   57539.945312         NaN         NaN
2021-02-22   54207.320312  225.026291  361.283386
2021-02-23   48824.425781  223.836487  361.722076
2021-02-24   49705.332031  225.064713  365.708069
2021-02-25   47093.851562  219.729538  356.896057
2021-02-26   46339.761719  222.982483  355.057007
2021-02-27   46188.453125         NaN         NaN
2021-02-28   45137.769531         NaN         NaN
2021-03-01   49631.242188  227.358063  363.663727
2021-03-02   48378.988281  224.412216  360.825958
2021-03-03   50538.242188  218.357391  356.046539
2021-03-04   48561.167969  217.560974  351.640564
2021-03-05   48927.304688  222.234024  358.109558
2021-03-06   48912.382812         NaN         NaN
2021-03-07   51206.691406         NaN         NaN
2021-03-08   52246.523438  218.194229  356.326660
2021-03-09   54824.117188  224.325867  361.414032
2021-03-10   56008.550781  223.020859  363.663727
2021-03-11   57805.121094  227.540375  367.350891
2021-03-12   57332.089844  226.216171  367.845642
2021-03-13   61243.085938         NaN         NaN
2021-03-14   59302.316406         NaN         NaN
2021-03-15   55907.199219  225.314133  370.039337
